id,name,val,lat,lon
45963,TORREVALDALIGA NORD,1820000,42.121111,11.768333
14910,GENOA,1822500,43.5592,-91.2333
43236,STERLITAMAK,1823600,53.624619,55.950148
19633,ISHIKAWA J-POWER,1823700,26.4233333,127.8213889
40948,SHEDGUM ARAMCO,1824000,25.726111,49.428889
21583,KAWASAKI ENERGY,1824600,35.5205556,139.7172222
322,AES CARTAGENA,1825000,37.495517,-1.48016
66036,JIYUAN,1825900,35.09,112.58
26599,MAGNITOGORSK MMK,1829400,53.418611,59.047222
33488,PALOS FRONTERA FENOSA,1830000,37.186144,-6.886133
47389,UTHMANIYAH GAS PLANT,1832000,25.25,49.25
36780,RAVENSWOOD,1838000,40.7585,-73.9451
33332,PAGUTHAN,1839100,21.7,72.9666667
8986,OPTIM ENERGY ALTURA COGEN LLC,1847700,29.8161,-95.0177
59645,LUOYANG SUNSHINE,1848600,34.6836111,112.4536111
17656,HIGASHI NIIGATA,1851600,37.9166667,139.0666667
20395,JINSHA GUIZHOU,1857100,27.4677778,106.2061111
12710,ESCOMBRERAS GN,1857100,37.570673,-0.942099
48552,VORKUTINSKAYA-2,1857900,67.5,64
16928,HARIPUR POWER,1858100,25.001457,89.791326
44110,TABRIZ,1858600,38.08,46.2919
33362,PAKA YTL,1859800,4.6374,103.4368
23019,KRAKOW LEG,1860000,50.054166,20.006944
49886,WISE COUNTY POWER LP,1862800,33.0583,-97.9103
63199,SHIN SAKAIKO,1862800,34.5833333,135.4666667
39664,SANTALDIH,1863600,23.3333333,86.3666667
42440,SOSNOGORSKAYA,1865200,63.567054,53.683478
13829,FORT ST VRAIN,1865400,40.2461,-104.8742
30385,NANDING,1868000,36.7905556,118.0633333
47078,UNION POWER PARTNERS LP,1869400,33.2961,-92.5933
37077,RENUKOOT (BALCO),1876300,22.0833333,82.15
17507,HEPO,1878400,37.8575,113.563333
3685,B C COBB,1880700,43.2542,-86.2417
46992,ULYANOVSK TETS-2,1882100,54.3333333,48.4
20116,JASPER,1886700,32.3592,-81.1236
45612,TOBOLSK,1891000,58.2,68.266667
30829,NERYUNGRI,1892600,56.6709,124.6491
29708,MUARA TAWAR,1896000,-6.2349,106.9896
72150,BAYTOWN ENERGY CENTER,1896200,29.7731,-94.9019
11586,DZERZHINSK,1901600,56.2388889,43.4630556
